Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
LLL-LL6RRG,LED,Other,,,90+,,1000-1050lm,"50,000hrs",,,,17W,,,4100K,,,,,,,,,
BL-HPEM,LED,,,,,120-277V,,,,,,12W,,,,,,,,,,,,
WM-XTN4X-2-EM,LED,,,,,120-277V,,,,,,3.8W,,,,,,,,,,,,
WM-XTN4X-1-EM,LED,,,,,120-277V,,,,,,3.8W,,,,,,,,,,,,
WM-CMC2-HCDK,LED,,,,"≥ 80",120V,450lm,"70,000hrs.",,MCT,,6,,,,,,,,,,,,
WM-CMC4-MCTP-DD,LED,,,,≥80,120-277V,75lm,"70,000hrs",,MCT,,9W/12W/15W,,,,,,,,,,,,
WM-CMC6-MCTP-DD,LED,,,,≥80,120-277V,75lm,"70,000hrs",,MCT,,21W/28W/35W,,,,,,,,,,,,
WM-CRES-51,LED,,,,>70,100-277V,"1,300lm","50,000hrs",,5000K,,15,,,,,,,,,,,,
WM-CRE-01,LED,,,,>70,100~277ACV,900lm,"50,000hrs",,5000K,"10W(2.5W X 4)",,,,,,,,,,,,,
WM-DBEL-ACEM,LED,,,,,120-277V,,,,,,12W,,,,,,,,,,,,
WM-E12-FLA-5W,LED,,,,,110-130V,400lm,,,4000K,,5W,,,,,,,,,,,,
WM-FMD-11-MCT5,LED,,,,"≥ 80",120V,"1,500lm","50,000hrs.",,MCT,,20W,,,,,,,,,,,,
WM-XT-CLWP,LED,,,,,"120V/277V AC",,,,6132K,,"2.4W Per Head",,,,,,,,,,,,
WM-XTN4X-2,LED,,,,,120V/277V,,,,,,3.2W,,,,,,,,,,,,
WM-XTN4X-1,LED,,,,,120V/277V,,,,,,3.2W,,,,,,,,,,,,
WM-WMX-SM-15-30W,LED,,,,>70,,"1,850lm-4,200lm","70,000hrs",,5000K,,15W/20W/25W/30W,,,,,,,,,,,,
WM-AD-102,LED,,,,,"12V AC/DC",,,,,,5W,,,3000K,,,,,,,,,
WM-CRE-03,LED,,,,>70,100~277ACV,900lm,"50,000 hrs",,5000K,,10W,,,,,,,,,,,,
WM-WMX-MD-20-50W,LED,,,,>70,,"2,700-6,800lm","70,000hrs",,5000K,,20/30W/40W/50W,,,,,,,,,,,,
WM-WMX-MD-20-80W,LED,,,,>70,,"2,600-11,200lm","70,000hrs",,5000K,,20W/40W/60W80W,,,,,,,,,,,,
WM-WMX-LG-50-120W,LED,,,,>70,,"70,00lm-16,500lm","70,000hrs.",,5000K,,50W/80W/100W/120W,,,,,,,,,,,,
WM-CRE-06,LED,,,,"≥ 70","100-277V AC",900lm,"50,000 hrs",,5000K,,10W,,,,,,,,,,,,
WM-CRE-08,LED,,,,>70,100~277ACV,900lm,"50,000hrs",,5000K,,10,,,,,,,,,,,,
WM-WML-HL-60W,LED,Other,,,>80,120-277VAC,8700lm,70000hrs.,,4000K,,60W,,,,,,,,,,,,
WM-CRE-07,LED,,,,>70,100~277ACV,900lm,"50,000 hrs",,5000K,,10,,,,,,,,,,,,
WM-WML-HL-100W,LED,Other,,,>80,120-277VAC,"14,800lm","70,000hrs.",,4000K,,100W,,,,,,,,,,,,
WM-CRE-10,LED,,,,>70,100~277ACV,900lm,"50,000hrs",,5000K,,10,,,,,,,,,,,,
WM-WML-HL-50W,LED,,,,>80,"120-277VAC 50/60Hz","7,100lm","70,000hrs",,5000K,,50W,,,,,,,,,,,,
WM-WML-60,LED,Other,,,>80,"120-277VAC 50/60Hz","6,200lm-6,600lm",50000hrs.,,5000K,,60W,,,,,,,,,,,,
WM-WMCS5-UDL-MCT,LED,Other,,,≥80,"120-277V AC","3,200lm","70,000 hrs",,,,40W,,,,,,,,,,,,
WM-WMCS5-DL-MCT,LED,Other,,,"≥ 80","120-277V AC",1600lm,"70,000 hrs.",,,,20W,,,,,,,,,,,,
WM-WAE-4FT,LED,Other,,,>82,100V-277VAC,3200lm,"50,000 hrs.",,5000K,,40W,,,,,,,,,,,,
WM-WL-181,LED,Other,,,,12VAC/DC,400lm,,,3000K,,5W,,,,,,,,,,,,
WM-UW-125,LED,Other,,,,12VAC/DC,400lm,,,3000K,,5W,,,,,,,,,,,,
WM-UCA-12,LED,Other,,,84,120V,275lm,,,MCT,,5W,,,,,,,,,,,,
WM-UCA-16,LED,Other,,,84,120V,390lm,,,MCT,,6.5W,,,,,,,,,,,,
WM-UCA-21,LED,Other,,,,120V,450lm,,,MCT,,8W,,,,,,,,,,,,
WM-UCA-24,LED,Other,,,84,120V,650lm,,,MCT,,12W,,,,,,,,,,,,
WM-UCA-33,LED,Other,,,84,120V,900lm,,,MCT,,16W,,,,,,,,,,,,
