sku,parent,finish_options,price,cost_price,Retail_price,sale_price
LT-CMED414-C-3000K,LT-CMED414,Chrome,78.05,47.03,,
LT-CMED414-C-3500K,LT-CMED414,Chrome,78.05,47.03,,
LT-CMED414-C-4000K,LT-CMED414,Chrome,78.05,47.03,,
LT-CMED513-WH-2700K,LT-CMED513,White,90.15,54.45,,
LT-CMED513-WH-3000K,LT-CMED513,White,90.15,54.45,,
LT-CMED513-WH-3500K,LT-CMED513,White,90.15,54.45,,
LT-CMED513-WH-4000K,LT-CMED513,White,90.15,54.45,,
LT-CMED513-BK-2700K,LT-CMED513,Black,90.15,54.45,,
LT-CMED513-BK-3000K,LT-CMED513,Black,90.15,54.45,,
LT-CMED513-BK-3500K,LT-CMED513,Black,90.15,54.45,,
LT-CMED513-BK-4000K,LT-CMED513,Black,90.15,54.45,,
LT-CMED513-BN-2700K,LT-CMED513,Brushed,90.15,54.45,,
LT-CMED513-BN-3000K,LT-CMED513,Brushed,90.15,54.45,,
LT-CMED513-BN-3500K,LT-CMED513,Brushed,90.15,54.45,,
LT-CMED513-BN-4000K,LT-CMED513,Brushed,90.15,54.45,,
LT-CMED513-SN-2700K,LT-CMED513,Satin,90.15,54.45,,
LT-CMED513-SN-3000K,LT-CMED513,Satin,90.15,54.45,,
LT-CMED513-SN-3500K,LT-CMED513,Satin,90.15,54.45,,
LT-CMED513-SN-4000K,LT-CMED513,Satin,90.15,54.45,,
LT-CMED513-C-2700K,LT-CMED513,Chrome,90.15,54.45,,
LT-CMED513-C-3000K,LT-CMED513,Chrome,90.15,54.45,,
LT-CMED513-C-3500K,LT-CMED513,Chrome,90.15,54.45,,
LT-CMED513-C-4000K,LT-CMED513,Chrome,90.15,54.45,,
LT-CMED515-WH-2700K,LT-CMED515,White,124.25,75.35,,
LT-CMED515-WH-3000K,LT-CMED515,White,124.25,75.35,,
LT-CMED515-WH-3500K,LT-CMED515,White,124.25,75.35,,
LT-CMED515-WH-4000K,LT-CMED515,White,124.25,75.35,,
LT-CMED515-BK-2700K,LT-CMED515,Black,124.25,75.35,,
LT-CMED515-BK-3000K,LT-CMED515,Black,124.25,75.35,,
LT-CMED515-BK-3500K,LT-CMED515,Black,124.25,75.35,,
LT-CMED515-BK-4000K,LT-CMED515,Black,124.25,75.35,,
LT-CMED515-BN-2700K,LT-CMED515,Brushed,124.25,75.35,,
LT-CMED515-BN-3000K,LT-CMED515,Brushed,124.25,75.35,,
LT-CMED515-BN-3500K,LT-CMED515,Brushed,124.25,75.35,,
LT-CMED515-BN-4000K,LT-CMED515,Brushed,124.25,75.35,,
LT-CMED515-SN-2700K,LT-CMED515,Satin,124.25,75.35,,
LT-CMED515-SN-3000K,LT-CMED515,Satin,124.25,75.35,,
LT-CMED515-SN-3500K,LT-CMED515,Satin,124.25,75.35,,
LT-CMED515-SN-4000K,LT-CMED515,Satin,124.25,75.35,,
LT-CMED515-C-2700K,LT-CMED515,Chrome,124.25,75.35,,
LT-CMED515-C-3000K,LT-CMED515,Chrome,124.25,75.35,,
LT-CMED515-C-3500K,LT-CMED515,Chrome,124.25,75.35,,
LT-CMED515-C-4000K,LT-CMED515,Chrome,124.25,75.35,,
EN-62000-IG-I,EN-62000-IG,Ivory,11.84,0,,
EN-62000-IG-O,EN-62000-IG,Orange,11.84,0,,
EN-62000-IG-W,EN-62000-IG,White,11.84,0,,
EN-61580-TR-I,EN-61580-TR,Ivory,1.24,0,,
EN-61580-TR-LA,EN-61580-TR,Light,1.24,0,,
EN-61580-TR-W,EN-61580-TR,White,1.24,0,,
EN-61580-TR-GY,EN-61580-TR,Gray,1.24,0,,
EN-61580-TR-BK,EN-61580-TR,Black,1.24,0,,
EN-61580-I,EN-61580,Ivory,0.59,0,,
EN-61580-LA,EN-61580,Light,0.59,0,,
EN-61580-W,EN-61580,White,0.59,0,,
EN-61580-GY,EN-61580,Gray,0.59,0,,
EN-61570-TR-I,EN-61570-TR,Ivory,5.67,0,,
EN-61570-TR-W,EN-61570-TR,White,5.67,0,,
EN-61550-IG-I,EN-61550-IG,Ivory,10.03,0,,
EN-61550-IG-W,EN-61550-IG,White,10.03,0,,
EN-61501-TR2USB-CC-I,EN-61501-TR2USB-CC,Ivory,25.62,0,,
EN-61501-TR2USB-CC-W,EN-61501-TR2USB-CC,White,25.62,0,,
EN-61501-I,EN-61501,Ivory,1.22,0,,
EN-61501-LA,EN-61501,Light,1.22,0,,
EN-61501-W,EN-61501,White,1.22,0,,
EN-61500-IG-TR-I,EN-61500-IG-TR,Ivory,11.73,0,,
EN-61500-IG-TR-O,EN-61500-IG-TR,Orange,11.73,0,,
EN-61500-IG-TR-W,EN-61500-IG-TR,White,11.73,0,,
EN-61500-IG-I,EN-61500-IG,Ivory,10.05,0,,
EN-61500-IG-O,EN-61500-IG,Orange,10.05,0,,
EN-61500-IG-W,EN-61500-IG,White,10.05,0,,
EN-61210-I,EN-61210,Ivory,2.04,0,,
EN-61210-W,EN-61210,White,2.04,0,,
EN-61160-I,EN-61160,Ivory,2.04,0,,
