parent_sku,child_sku,color_temprature
AEL-LDL4RWWA,AEL-LDL4RWWA-50-HMSLMW4,5000K
EL-EA21,EL-EA21-30-2100-2,3000K
EL-EA21,EL-EA21-50-2150-2,5000K
EL-EA19,EL-EA19-6100-4,2700K
EL-EA19,EL-EA19-6120-4,3000K
EL-EA19,EL-EA19-6140-4,4000K
EL-EA19,EL-EA19-6150-4,5000K
EL-EA19-,EL-EA19--2020eG,2700K
EL-EA19-,EL-EA19--2000eG,3000K
EL-EA19-,EL-EA19--2050eG,5000K
EL-EA21--,EL-EA21---2021e,2700K
EL-EA21--,EL-EA21---2001e,3000K
EL-EA21--,EL-EA21---2051e,5000K
EL-EA21-,EL-EA21--1000et,3000K
EL-EA21-,EL-EA21--1050et,5000K
EL-ER20,EL-ER20-2020e,2700K
EL-ER20,EL-ER20-2000e,3000K
EL-ER20,EL-ER20-2050e,5000K
EL-EB30,EL-EB30-2020,2700K
EL-EB30,EL-EB30-2000e,3000K
EL-EB30,EL-EB30-2050,5000K
EL-EB40,EL-EB40-2020e,2700K
EL-EB40,EL-EB40-2000e,3000K
EL-EB40,EL-EB40-2050e,5000K
EL-EP16,EL-EP16-3000ew,3000K
EL-EP16,EL-EP16-3050ew,5000K
EL-EP20-,EL-EP20--2020ew,2700K
EL-EP20-,EL-EP20--2000ew,3000K
EL-EP20-,EL-EP20--2050ew,5000K
EL-EP30-20,EL-EP30-20-20ew,2700K
