SKU,family_count,family
BL-LEDMPAL50,2,"Mounting Options,Color Temperature (CCT)"
BL-LEDMPAL,2,"Wattage & Lumen Options,Color Temperature (CCT)"
BL-LEDWPPC,2,"Wattage & Lumen Options,Color Temperature (CCT)"
BL-LEDWP30W,1,"Color Temperature (CCT)"
BL-LEDWP,2,"Wattage & Lumen Options,Color Temperature (CCT)"
BL-LEDWP120W,1,"Color Temperature (CCT)"
BL-LEDWPC20W,1,"Color Temperature (CCT)"
BL-LEDWPC80W,1,"Color Temperature (CCT)"
BL-CPLED,1,"Wattage & Lumen Options"
GL-LVTS-40-MVD,1,"Color Temperature (CCT)"
AEL-LDL4RWWA,2,"Color Temperature (CCT),Wattage Options"
EL-EA21,1,"Color Temperature (CCT)"
EL-EA19,1,"Color Temperature (CCT)"
EL-EA19-,1,"Color Temperature (CCT)"
EL-EA21--,1,"Color Temperature (CCT)"
EL-EA21-,1,"Color Temperature (CCT)"
EL-ER20,1,"Color Temperature (CCT)"
AEL-LRKT240,1,"Wattage Options"
EL-EB30,1,"Color Temperature (CCT)"
EL-EB40,1,"Color Temperature (CCT)"
EL-EP16,1,"Color Temperature (CCT)"
EL-EP20-,1,"Color Temperature (CCT)"
EL-EP30-20,1,"Color Temperature (CCT)"
EL-EP30-2,1,"Color Temperature (CCT)"
EL-EP38-,1,"Color Temperature (CCT)"
EL-EM16,1,"Color Temperature (CCT)"
EL-DLC4,1,"Color Temperature (CCT)"
EL-DLC,1,"Color Temperature (CCT)"
EL-ET5-B,1,"Color Temperature (CCT)"
EL-ET8-20,1,"Color Temperature (CCT)"
GL-LVTS-45-MVD,1,"Color Temperature (CCT)"
EE-TCB1X4-26W,1,"Color Temperature (CCT)"
EE-LTR-22HE,1,"Color Temperature (CCT)"
AEL-AE47,1,"Wattage Options"
EE-LLS-4VHE-41/8,1,"Color Temperature (CCT)"
EE-SRFK8,2,"Wattage & Lumen Options,Color Temperature (CCT)"
EE-LHB2,1,"Wattage & Lumen Options"
AEL-LVTP4,2,"Color Temperature (CCT),Wattage Options"
NL-AST-GS02,1,"Wattage & Lumen Options"
AEL-LTDL24,2,"Wattage Options,Color Temperature (CCT)"
AE-U-IWP,2,"Wattage & Lumen Options,Color Temperature (CCT)"
AEL-LTDL24DA,2,"Color Temperature (CCT),Wattage & Lumen Options"
AEL-LHCL4,2,"Color Temperature (CCT),Wattage & Lumen Options"
AEL-PLSW18,2,"Color Temperature (CCT),Wattage Options"
AE-L-HBIS-100,2,"Lumen Package Options,Color Temperature (CCT)"
AEL-PLSW14,2,"Color Temperature (CCT),Wattage Options"
AE-L-HBIS-150,2,"Lumen Package Options,Color Temperature (CCT)"
AE-L-HBIS-240,2,"Lumen Package Options,Color Temperature (CCT)"
AEL-LUTC,2,"Size & Wattage Options,Color Temperature (CCT)"
AE-L-HBRS-240,2,"Lumen Package Options,Color Temperature (CCT)"
AEL-LSPR446SN,1,"Color Temperature (CCT)"
AEL-LSPR336SN,1,"Color Temperature (CCT)"
AEL-LSPR223SN,1,"Color Temperature (CCT)"
AE-L-HBRS-150,2,"Lumen Package Options,Color Temperature (CCT)"
AE-L-HBUFO-150,3,"Lumen Package & Lens Type Options,Color Temperature (CCT),Finish Options"
AEL-LSMF4,2,"Color Temperature (CCT),Wattage Options"
AE-L-HBUFO-240,3,"Lumen Package & Lens Type Options,Color Temperature (CCT),Finish Options"
AEL-LSMF2,2,"Color Temperature (CCT),Wattage & Lumen Options"
AEL-LSMF1,2,"Color Temperature (CCT),Wattage & Lumen Options"
AEL-LLPS4,2,"Color Temperature (CCT),Wattage Options"
AEL-LSB8,2,"Color Temperature (CCT),Wattage Options"
AEL-LSB4,2,"Color Temperature (CCT),Wattage Options"
