parent_sku,Child_sku,ProductId,Product Name,,,
TF-209A48L,TF-209A48L-F32W3450LDMV-30K,13694,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3000K
TF-209A48L,TF-209A48L-F32W3450LDMV-35K,13696,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3500K
TF-209A48L,TF-209A48L-F32W3450LDMV-40K,13697,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-209A48L,TF-209A48L-F32W3450LDMV-50K,13699,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),5000K
TF-209A48L,TF-209A48L-F48W4800LDMV-30K,13701,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-209A48L,TF-209A48L-F48W4800LDMV-35K,13702,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-209A48L,TF-209A48L-F48W4800LDMV-40K,13704,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-209A48L,TF-209A48L-F48W4800LDMV-50K,13705,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-30K,13783,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-35K,13785,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-40K,13786,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-50K,13788,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-30K,13789,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-35K,13791,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-40K,13793,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-50K,13794,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-30K,13796,[S]Wattage Options,42 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-35K,13798,[S]Wattage Options,42 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-40K,13799,[S]Wattage Options,42 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-50K,13801,[S]Wattage Options,42 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-30K,13806,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-35K,13808,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-40K,13809,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-50K,13810,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-30K,13811,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
