parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-C48LFR,TF-C48LFR-F57W7100LDMV-40K,"57 Watts",4000K
TF-C48LFR,TF-C48LFR-F57W7100LDMV-50K,"57 Watts",5000K
TF-C96LFR,TF-C96LFR-F70W9100LDMV-30K,"70 Watts",3000K
TF-C96LFR,TF-C96LFR-F70W9100LDMV-35K,"70 Watts",3500K
TF-C96LFR,TF-C96LFR-F70W9100LDMV-40K,"70 Watts",4000K
TF-C96LFR,TF-C96LFR-F70W9100LDMV-50K,"70 Watts",5000K
TF-C96LFR,TF-C96LFR-F97W11900LDMV-30K,"97 Watts",3000K
TF-C96LFR,TF-C96LFR-F97W11900LDMV-35K,"97 Watts",3500K
TF-C96LFR,TF-C96LFR-F97W11900LDMV-40K,"97 Watts",4000K
TF-C96LFR,TF-C96LFR-F97W11900LDMV-50K,"97 Watts",5000K
TF-C96LFR,TF-C96LFR-F118W14200LDMV-30K,"118 Watts",3000K
TF-C96LFR,TF-C96LFR-F118W14200LDMV-35K,"118 Watts",3500K
TF-C96LFR,TF-C96LFR-F118W14200LDMV-40K,"118 Watts",4000K
TF-C96LFR,TF-C96LFR-F118W14200LDMV-50K,"118 Watts",5000K
TF-KDS48L,TF-KDS48L-J24W2800LDMV-30K,"24 Watts",3000K
TF-KDS48L,TF-KDS48L-J24W2800LDMV-35K,"24 Watts",3500K
TF-KDS48L,TF-KDS48L-J24W2800LDMV-40K,"24 Watts",4000K
TF-KDS48L,TF-KDS48L-J24W2800LDMV-50K,"24 Watts",5000K
TF-KDS48L,TF-KDS48L-J28W3200LDMV-30K,"28 Watts",3000K
TF-KDS48L,TF-KDS48L-J28W3200LDMV-35K,"28 Watts",3500K
TF-KDS48L,TF-KDS48L-J28W3200LDMV-40K,"28 Watts",4000K
TF-KDS48L,TF-KDS48L-J28W3200LDMV-50K,"28 Watts",5000K
TF-KDS48L,TF-KDS48L-J35W4000LDMV-30K,"35 Watts",3000K
TF-KDS48L,TF-KDS48L-J35W4000LDMV-35K,"35 Watts",3500K
TF-KDS48L,TF-KDS48L-J35W4000LDMV-40K,"35 Watts",4000K
TF-KDS48L,TF-KDS48L-J35W4000LDMV-50K,"35 Watts",5000K
TF-KDS96L,TF-KDS96L-J48W5650LDMV-30K,"48 Watts",3000K
TF-KDS96L,TF-KDS96L-J48W5650LDMV-35K,"48 Watts",3500K
TF-KDS96L,TF-KDS96L-J48W5650LDMV-40K,"48 Watts",4000K
TF-KDS96L,TF-KDS96L-J48W5650LDMV-50K,"48 Watts",5000K
TF-KDS96L,TF-KDS96L-J57W6400LDMV-30K,"57 Watts",3000K
TF-KDS96L,TF-KDS96L-J57W6400LDMV-35K,"57 Watts",3500K
TF-KDS96L,TF-KDS96L-J57W6400LDMV-40K,"57 Watts",4000K
TF-KDS96L,TF-KDS96L-J57W6400LDMV-50K,"57 Watts",5000K
TF-KDS96L,TF-KDS96L-J72W8000LDMV-30K,"72 Watts",3000K
TF-KDS96L,TF-KDS96L-J72W8000LDMV-35K,"72 Watts",3500K
TF-KDS96L,TF-KDS96L-J72W8000LDMV-40K,"72 Watts",4000K
TF-KDS96L,TF-KDS96L-J72W8000LDMV-50K,"72 Watts",5000K
TF-IND48L,TF-IND48L-J32W5000LW30DMV-30K,"32 Watts",3000K
TF-IND48L,TF-IND48L-J32W5000LW30DMV-35K,"32 Watts",3500K
TF-IND48L,TF-IND48L-J32W5000LW30DMV-40K,"32 Watts",4000K
TF-IND48L,TF-IND48L-J32W5000LW30DMV-50K,"32 Watts",5000K
TF-IND48L,TF-IND48L-J48W6900LW30DMV-30K,"48 Watts",3000K
TF-IND48L,TF-IND48L-J48W6900LW30DMV-35K,"48 Watts",3500K
TF-IND48L,TF-IND48L-J48W6900LW30DMV-40K,"48 Watts",4000K
TF-IND48L,TF-IND48L-J48W6900LW30DMV-50K,"48 Watts",5000K
TF-IND48L,TF-IND48L-J57W7800LW30DMV-30K,"57 Watts",3000K
TF-IND48L,TF-IND48L-J57W7800LW30DMV-35K,"57 Watts",3500K
TF-IND48L,TF-IND48L-J57W7800LW30DMV-40K,"57 Watts",4000K
TF-IND48L,TF-IND48L-J57W7800LW30DMV-50K,"57 Watts",5000K
TF-CITE48L,TF-CITE48L-FRF48W5600LLBDMV30K,"48 Watts",3000K
TF-CITE48L,TF-CITE48L-FRF48W5600LLBDMV35K,"48 Watts",3500K
TF-CITE48L,TF-CITE48L-FRF48W5600LLBDMV40K,"48 Watts",4000K
