product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
957,TF-WLINLV2328MV,TF-WLINLV2328MV-IN,735.72,735.72,,,,0,,Iron,,,,,,,,,,,
959,TF-WLINLV232MV,TF-WLINLV232MV-WH,371.43,371.43,,,,0,,White,,,,,,,,,,,
959,TF-WLINLV232MV,TF-WLINLV232MV-BK,407.15,407.15,,,,0,,Black,,,,,,,,,,,
959,TF-WLINLV232MV,TF-WLINLV232MV-SL,407.15,407.15,,,,0,,Silver,,,,,,,,,,,
959,TF-WLINLV232MV,TF-WLINLV232MV-IN,407.15,407.15,,,,0,,Iron,,,,,,,,,,,
960,TF-BKRA117MV,TF-BKRA117MV-WH,77.15,77.15,,,,0,,"White Back Plate and End Caps (standard)",,,,,,,,,,,
960,TF-BKRA117MV,TF-BKRA117MV-CHE,77.15,77.15,,,,0,,"White Back Plate and Chrome End Caps",,,,,,,,,,,
960,TF-BKRA117MV,TF-BKRA117MV-CH,77.15,77.15,,,,0,,"Chrome Back Plate and End Caps",,,,,,,,,,,
962,TF-WLINLV2548MV,TF-WLINLV2548MV-WH,747.15,747.15,,,,0,,White,,,,,,,,,,,
962,TF-WLINLV2548MV,TF-WLINLV2548MV-BK,807.15,807.15,,,,0,,Black,,,,,,,,,,,
962,TF-WLINLV2548MV,TF-WLINLV2548MV-SL,807.15,807.15,,,,0,,Silver,,,,,,,,,,,
962,TF-WLINLV2548MV,TF-WLINLV2548MV-IN,807.15,807.15,,,,0,,Iron,,,,,,,,,,,
964,TF-WLINLV254MV,TF-WLINLV254MV-WH,404.3,404.3,,,,0,,White,,,,,,,,,,,
964,TF-WLINLV254MV,TF-WLINLV254MV-BK,438.6,438.6,,,,0,,Black,,,,,,,,,,,
964,TF-WLINLV254MV,TF-WLINLV254MV-SL,438.6,438.6,,,,0,,Silver,,,,,,,,,,,
964,TF-WLINLV254MV,TF-WLINLV254MV-IN,438.6,438.6,,,,0,,Iron,,,,,,,,,,,
965,TF-WLINMW2328MV,TF-WLINMW2328MV-WH,478.6,478.6,,,,0,,White,,,,,,,,,,,
965,TF-WLINMW2328MV,TF-WLINMW2328MV-BK,602.86,602.86,,,,0,,Black,,,,,,,,,,,
965,TF-WLINMW2328MV,TF-WLINMW2328MV-SL,602.86,602.86,,,,0,,Silver,,,,,,,,,,,
965,TF-WLINMW2328MV,TF-WLINMW2328MV-IN,602.86,602.86,,,,0,,Iron,,,,,,,,,,,
968,TF-WLINMW232MV,TF-WLINMW232MV-WH,270,270,,,,0,,White,,,,,,,,,,,
968,TF-WLINMW232MV,TF-WLINMW232MV-BK,354.3,354.3,,,,0,,Black,,,,,,,,,,,
968,TF-WLINMW232MV,TF-WLINMW232MV-SL,354.3,354.3,,,,0,,Silver,,,,,,,,,,,
968,TF-WLINMW232MV,TF-WLINMW232MV-IN,354.3,354.3,,,,0,,Iron,,,,,,,,,,,
970,TF-WLINMW2548MV,TF-WLINMW2548MV-WH,548.6,548.6,,,,0,,White,,,,,,,,,,,
970,TF-WLINMW2548MV,TF-WLINMW2548MV-BK,622.86,622.86,,,,0,,Black,,,,,,,,,,,
970,TF-WLINMW2548MV,TF-WLINMW2548MV-SL,622.86,622.86,,,,0,,Silver,,,,,,,,,,,
970,TF-WLINMW2548MV,TF-WLINMW2548MV-IN,622.86,622.86,,,,0,,Iron,,,,,,,,,,,
973,TF-WLINMW254MV,TF-WLINMW254MV-WH,301.43,301.43,,,,0,,White,,,,,,,,,,,
973,TF-WLINMW254MV,TF-WLINMW254MV-BK,337.15,337.15,,,,0,,Black,,,,,,,,,,,
973,TF-WLINMW254MV,TF-WLINMW254MV-SL,337.15,337.15,,,,0,,Silver,,,,,,,,,,,
973,TF-WLINMW254MV,TF-WLINMW254MV-IN,337.15,337.15,,,,0,,Iron,,,,,,,,,,,
974,TF-WLINPF2328MV,TF-WLINPF2328MV-WH,454.3,454.3,,,,0,,White,,,,,,,,,,,
974,TF-WLINPF2328MV,TF-WLINPF2328MV-BK,514.3,514.3,,,,0,,Black,,,,,,,,,,,
974,TF-WLINPF2328MV,TF-WLINPF2328MV-SL,514.3,514.3,,,,0,,Silver,,,,,,,,,,,
974,TF-WLINPF2328MV,TF-WLINPF2328MV-IN,514.3,514.3,,,,0,,Iron,,,,,,,,,,,
976,TF-WLINPF232MV,TF-WLINPF232MV-WH,242.86,242.86,,,,0,,White,,,,,,,,,,,
