product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11412,BL-BRK-56-BW-9L,BL-BRK-56-BW-3K,,14.3,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11412,BL-BRK-56-BW-9L,BL-BRK-56-BW-4K,,14.3,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11412,BL-BRK-56-BW-9L,BL-BRK-56-BW-5K,,14.3,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11413,BL-BRK-56-BW-15L,BL-BRK-56-BW-15L-3K,,18.95,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11413,BL-BRK-56-BW-15L,BL-BRK-56-BW-15L-4K,,18.95,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11416,BL-BRK-LED6ICN9.5W,BL-BRK-LED6ICN9.5W-27K-ECO,,18.95,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11416,BL-BRK-LED6ICN9.5W,BL-BRK-LED6ICN9.5W-3K-ECO,,18.95,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11416,BL-BRK-LED6ICN9.5W,BL-BRK-LED6ICN9.5W-35K-ECO,,18.95,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11416,BL-BRK-LED6ICN9.5W,BL-BRK-LED6ICN9.5W-4K-ECO,,18.95,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11416,BL-BRK-LED6ICN9.5W,BL-BRK-LED6ICN9.5W-5K-ECO,,18.95,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,BL-BRK-LED6ICN-GR-11W,BL-BRK-LED6ICN-GR-11W-27K-ECO,,31.1,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,BL-BRK-LED6ICN-GR-11W,BL-BRK-LED6ICN-GR-11W-30K-ECO,,31.1,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,BL-BRK-LED6ICN-GR-11W,BL-BRK-LED6ICN-GR-11W-35K-ECO,,31.1,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,BL-BRK-LED6ICN-GR-11W,BL-BRK-LED6ICN-GR-11W-40K-ECO,,31.1,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,BL-BRK-LED6ICN-GR-11W,BL-BRK-LED6ICN-GR-11W-50K-ECO,,31.1,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-27-NF/35W-CASE10,,59.75,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-27-NF/35W-CASE10,,59.75,,,,0,,,,"Narrow Flood - 25 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-27-FL/35W-CASE10,,59.75,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-27-FL/35W-CASE10,,59.75,,,,0,,,,"Flood - 35 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-30-NF/35W-CASE10,,59.75,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-30-NF/35W-CASE10,,59.75,,,,0,,,,"Narrow Flood - 25 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-30-FL/35W-CASE10,,59.75,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,GC-6.5MR16DIM,GC-6.5MR16DIM-30-FL/35W-CASE10,,59.75,,,,0,,,,"Flood - 35 Deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,BL-BRK-LED2ICN-GR-6.5W,BL-BRK-LED2ICN-GR-6.5W-27K-ECO,,23.25,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,BL-BRK-LED2ICN-GR-6.5W,BL-BRK-LED2ICN-GR-6.5W-3K-ECO,,23.25,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,BL-BRK-LED2ICN-GR-6.5W,BL-BRK-LED2ICN-GR-6.5W-35K-ECO,,23.25,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,BL-BRK-LED2ICN-GR-6.5W,BL-BRK-LED2ICN-GR-6.5W-4K-ECO,,23.25,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,BL-BRK-LED2ICN-GR-6.5W,BL-BRK-LED2ICN-GR-6.5W-5K-ECO,,23.25,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11422,GC-2.5MR11,GC-2.5MR11-827FL35-CASE10,,121.15,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11422,GC-2.5MR11,GC-2.5MR11-840FL35-CASE10,,121.15,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11423,GC-9BR30DIM,GC-9BR30DIM-827-CASE10,,31.15,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11423,GC-9BR30DIM,GC-9BR30DIM-830-CASE10,,31.15,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11423,GC-9BR30DIM,GC-9BR30DIM-840-CASE10,,31.15,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,GC-17T8U6,GC-17T8U6-830/BYP-CASE10,,179.75,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,GC-17T8U6,GC-17T8U6-835/BYP-CASE10,,179.75,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
